PassengerId,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Survived
1,2,male,39.6,0,0,11.56,S,0
2,3,male,19.4,0,0,6.83,Q,0
3,2,female,46.3,1,0,9.52,S,1
4,2,female,49.1,0,0,5.0,S,1
5,3,female,5.7,0,0,32.82,S,1
6,2,female,15.5,0,3,23.93,C,0
7,2,female,36.9,0,0,23.97,S,1
8,3,male,30.3,1,0,29.05,S,1
9,1,female,34.7,0,0,68.74,S,0
10,2,female,22.2,0,0,5.0,S,1
11,1,male,48.2,0,1,15.28,C,0
12,2,male,46.7,0,0,7.43,S,0
13,1,male,36.0,0,0,37.27,S,0
14,3,female,51.9,1,0,63.72,S,0
15,1,female,42.0,0,0,10.17,S,1
16,3,female,22.1,0,2,18.82,S,0
17,2,male,40.5,2,0,5.0,C,0
18,2,male,20.6,0,1,19.04,S,0
19,2,male,48.2,1,0,11.1,S,1
20,3,male,34.3,0,2,29.1,S,1
21,2,female,32.2,0,0,20.09,C,1
22,2,female,24.8,0,0,48.41,S,1
23,3,female,53.3,1,1,16.6,S,0
24,2,female,32.7,1,0,19.11,S,0
25,1,female,28.6,0,0,56.13,S,1
26,3,male,29.7,0,3,17.36,Q,0
27,2,male,43.0,0,0,29.66,S,1
28,1,male,40.5,0,1,7.6,S,0
29,2,male,41.2,1,0,42.64,S,1
30,1,male,41.5,1,1,31.0,S,1
31,1,male,67.1,2,1,32.2,S,1
32,3,female,28.9,0,0,33.86,S,1
33,1,male,27.3,1,0,28.25,S,1
34,3,female,22.8,0,0,5.0,C,1
35,3,female,44.2,0,0,11.02,C,1
36,2,female,51.9,2,1,62.86,S,1
37,3,female,33.3,0,0,52.57,Q,1
38,3,male,22.4,1,0,51.59,Q,0
39,3,female,22.6,1,0,88.02,S,1
40,2,male,44.8,2,0,25.16,S,1
41,1,female,46.1,0,1,23.32,S,1
42,2,male,43.1,0,0,20.8,S,0
43,2,male,25.0,1,0,5.0,S,0
44,1,female,38.5,1,1,22.08,S,0
45,2,female,36.8,0,2,39.84,Q,1
46,1,male,38.3,1,0,9.9,S,0
47,3,female,48.1,0,2,67.06,C,0
48,2,male,38.4,0,0,30.18,S,1
49,1,female,45.2,2,1,35.91,S,0
50,1,male,36.0,0,0,28.19,C,1
51,1,male,39.3,0,0,51.17,S,0
52,2,male,44.5,3,0,18.58,S,0
53,1,male,13.1,1,0,23.44,S,1
54,2,male,30.2,2,0,8.24,S,0
55,1,male,27.9,0,0,21.69,S,0
56,2,male,25.4,4,0,8.16,S,1
57,2,male,30.9,0,0,54.17,S,0
58,2,male,57.4,0,0,25.57,S,0
59,2,male,22.0,0,0,25.18,S,1
60,1,female,49.5,1,2,48.04,S,0
61,1,female,9.8,2,3,7.47,S,1
62,1,male,30.0,1,0,7.79,S,0
63,3,female,37.4,1,0,92.52,S,1
64,3,male,43.8,0,0,27.56,C,1
65,3,male,45.7,0,0,25.43,S,0
66,2,female,46.9,0,1,5.0,S,1
67,2,female,29.8,0,0,14.9,S,1
68,2,female,28.1,0,0,69.28,Q,1
69,3,male,47.9,2,0,50.16,S,1
70,3,female,32.1,1,0,15.32,S,0
71,3,male,15.9,1,1,31.65,S,1
72,3,male,18.0,0,0,13.98,S,0
73,2,male,21.2,0,0,18.12,S,0
74,3,female,42.5,0,0,13.04,S,0
75,3,male,37.1,0,2,7.4,S,1
76,2,female,45.4,0,0,23.67,S,0
77,3,female,28.6,0,1,20.2,S,0
78,1,female,37.4,0,2,92.24,C,1
79,3,female,44.4,1,0,5.0,S,0
80,3,female,30.4,0,2,17.94,Q,0
81,1,male,41.9,0,0,43.31,C,0
82,3,male,25.1,0,0,21.83,C,0
83,1,female,29.6,0,0,79.57,C,1
84,3,male,29.3,0,0,14.59,S,0
85,3,male,17.1,0,0,5.0,S,0
86,2,male,42.3,0,0,64.56,S,0
87,3,male,28.0,0,0,5.0,S,0
88,1,male,35.2,2,0,16.74,S,0
89,2,male,42.2,0,0,12.51,S,0
90,2,female,41.7,0,0,27.63,S,1
91,1,male,45.0,0,0,38.98,Q,1
92,2,female,33.5,0,3,19.23,S,1
93,2,female,28.7,0,2,56.54,S,1
94,2,male,33.8,2,0,5.0,S,0
95,2,female,9.7,0,0,11.74,S,0
96,3,female,13.3,1,0,26.2,C,0
97,2,female,15.2,0,1,14.29,S,1
98,3,male,20.0,0,0,5.0,S,0
99,2,male,41.0,0,1,6.87,S,1
100,2,male,21.4,0,0,15.17,S,0
101,2,female,29.3,0,0,12.63,S,1
102,2,female,54.5,3,1,39.25,Q,1
103,2,female,29.7,1,0,35.54,S,1
104,2,female,46.1,4,1,33.61,S,0
105,1,female,21.0,0,0,29.17,S,1
