PassengerId,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Survived,UserToken,ProductCode
1,2,male,39.6,0,0,11.56,S,0,2wlzxr51jm33,PROD-0095
2,3,male,19.4,0,0,6.83,Q,0,f5pkc0b2firl,PROD-0557
3,2,female,46.3,1,0,9.52,S,1,gyqv7ct9u8wp,PROD-0000
4,2,female,49.1,0,0,5.0,S,1,4zcqil47bewn,PROD-0098
5,3,female,5.7,0,0,32.82,S,1,nis6yuhf4hmi,PROD-0407
6,2,female,15.5,0,3,23.93,C,0,41rj1tystsoc,PROD-0110
7,2,female,36.9,0,0,23.97,S,1,0a0jsbo0euxi,PROD-0064
8,3,male,30.3,1,0,29.05,S,1,5wh9y651n4mi,PROD-0357
9,1,female,34.7,0,0,68.74,S,0,z6viu41vpwoz,PROD-0015
10,2,female,22.2,0,0,5.0,S,1,kbotdl7ne7v5,PROD-0161
11,1,male,48.2,0,1,15.28,C,0,2pa8p1cfiiot,PROD-0385
12,2,male,46.7,0,0,7.43,S,0,anb3qm09r58o,PROD-0110
13,1,male,36.0,0,0,37.27,S,0,oxyigmha328x,PROD-0455
14,3,female,51.9,1,0,63.72,S,0,ge6jnz5t5kob,PROD-0056
15,1,female,42.0,0,0,10.17,S,1,uaps3br9so8b,PROD-0367
16,3,female,22.1,0,2,18.82,S,0,63xlwuv45w9n,PROD-0045
17,2,male,40.5,2,0,5.0,C,0,wpsnslvmcydr,PROD-0439
18,2,male,20.6,0,1,19.04,S,0,2odxp6f6jdhp,PROD-0451
19,2,male,48.2,1,0,11.1,S,1,i017v8fwsc03,PROD-0476
20,3,male,34.3,0,2,29.1,S,1,tno9xgsr6v6x,PROD-0169
21,2,female,32.2,0,0,20.09,C,1,pk53x1z963ku,PROD-0141
22,2,female,24.8,0,0,48.41,S,1,97so8d5w6n0e,PROD-0587
23,3,female,53.3,1,1,16.6,S,0,4l4yadkr2jq2,PROD-0437
24,2,female,32.7,1,0,19.11,S,0,bxl77an9ai4b,PROD-0109
25,1,female,28.6,0,0,56.13,S,1,4sb3br2r4m1d,PROD-0017
26,3,male,29.7,0,3,17.36,Q,0,8ec6n038pes4,PROD-0212
27,2,male,43.0,0,0,29.66,S,1,9odjtb1qvu6n,PROD-0399
28,1,male,40.5,0,1,7.6,S,0,x5qxlb4ss3yr,PROD-0224
29,2,male,41.2,1,0,42.64,S,1,q7mn5izy8bws,PROD-0484
30,1,male,41.5,1,1,31.0,S,1,4lz41q65l7w4,PROD-0300
31,1,male,67.1,2,1,32.2,S,1,ybu8kf2mam0n,PROD-0594
32,3,female,28.9,0,0,33.86,S,1,w6wfd3m51hqm,PROD-0522
33,1,male,27.3,1,0,28.25,S,1,mwjr1g3stfao,PROD-0282
34,3,female,22.8,0,0,5.0,C,1,fu1xlfbdash7,PROD-0500
35,3,female,44.2,0,0,11.02,C,1,jcljvdfqlvsu,PROD-0268
36,2,female,51.9,2,1,62.86,S,1,dqv3p4b74v19,PROD-0005
37,3,female,33.3,0,0,52.57,Q,1,qzirwvj729xw,PROD-0184
38,3,male,22.4,1,0,51.59,Q,0,5o30juztdbnu,PROD-0245
39,3,female,22.6,1,0,88.02,S,1,rkmxbf22obtt,PROD-0585
40,2,male,44.8,2,0,25.16,S,1,vpt6mwkwn6na,PROD-0496
41,1,female,46.1,0,1,23.32,S,1,odkvfz3qek74,PROD-0087
42,2,male,43.1,0,0,20.8,S,0,kni12uwttf4v,PROD-0000
43,2,male,25.0,1,0,5.0,S,0,ff6b7c7ic40i,PROD-0317
44,1,female,38.5,1,1,22.08,S,0,ar9jldm9home,PROD-0320
45,2,female,36.8,0,2,39.84,Q,1,vxlmkm7g7ejv,PROD-0441
46,1,male,38.3,1,0,9.9,S,0,vssoqdg7xos6,PROD-0155
47,3,female,48.1,0,2,67.06,C,0,49dygtyqrst0,PROD-0487
48,2,male,38.4,0,0,30.18,S,1,ns4ac02te8je,PROD-0247
49,1,female,45.2,2,1,35.91,S,0,smzn2xnv99ze,PROD-0200
50,1,male,36.0,0,0,28.19,C,1,tghwocvy2rc2,PROD-0252
51,1,male,39.3,0,0,51.17,S,0,4uzchew090rv,PROD-0566
52,2,male,44.5,3,0,18.58,S,0,a2olsk5x8cmm,PROD-0235
53,1,male,13.1,1,0,23.44,S,1,1lsmxakkwzus,PROD-0336
54,2,male,30.2,2,0,8.24,S,0,vqwi10xfiiih,PROD-0535
55,1,male,27.9,0,0,21.69,S,0,y40a3b8oqiij,PROD-0010
56,2,male,25.4,4,0,8.16,S,1,ey5nm3a81wxf,PROD-0321
57,2,male,30.9,0,0,54.17,S,0,l4a7poyqppvo,PROD-0425
58,2,male,57.4,0,0,25.57,S,0,94zk9htbdoqn,PROD-0542
59,2,male,22.0,0,0,25.18,S,1,gq2whd1upa7p,PROD-0036
60,1,female,49.5,1,2,48.04,S,0,srsmjbjttiih,PROD-0436
61,1,female,9.8,2,3,7.47,S,1,mxye5mbbg7lg,PROD-0481
62,1,male,30.0,1,0,7.79,S,0,6tavq3z2x956,PROD-0210
63,3,female,37.4,1,0,92.52,S,1,g1argllf51hs,PROD-0447
64,3,male,43.8,0,0,27.56,C,1,dn4lftclbnz1,PROD-0296
65,3,male,45.7,0,0,25.43,S,0,wazaq57h7plz,PROD-0394
66,2,female,46.9,0,1,5.0,S,1,hx2spind5qim,PROD-0233
67,2,female,29.8,0,0,14.9,S,1,v74g47u6puoy,PROD-0106
68,2,female,28.1,0,0,69.28,Q,1,2m4zevu418xo,PROD-0497
69,3,male,47.9,2,0,50.16,S,1,cd0v0q309xvk,PROD-0129
70,3,female,32.1,1,0,15.32,S,0,jfvdwb494e40,PROD-0112
71,3,male,15.9,1,1,31.65,S,1,b9h9ix4jrtql,PROD-0531
72,3,male,18.0,0,0,13.98,S,0,iopgzf8golj9,PROD-0561
73,2,male,21.2,0,0,18.12,S,0,si68f4qikkx6,PROD-0365
74,3,female,42.5,0,0,13.04,S,0,ehhwa36gemh8,PROD-0348
75,3,male,37.1,0,2,7.4,S,1,eo6zu4nbb7ss,PROD-0216
76,2,female,45.4,0,0,23.67,S,0,krdu3j1od2fz,PROD-0367
77,3,female,28.6,0,1,20.2,S,0,r8p5ov41myut,PROD-0365
78,1,female,37.4,0,2,92.24,C,1,yrwpuq7ykyp4,PROD-0310
79,3,female,44.4,1,0,5.0,S,0,t4oguhqyi2qh,PROD-0393
80,3,female,30.4,0,2,17.94,Q,0,ekggj47bh0zl,PROD-0332
81,1,male,41.9,0,0,43.31,C,0,vna2cdpmn811,PROD-0527
82,3,male,25.1,0,0,21.83,C,0,ke0vn3516abd,PROD-0400
83,1,female,29.6,0,0,79.57,C,1,p5jvpjy1sxur,PROD-0231
84,3,male,29.3,0,0,14.59,S,0,fstyk2kwvxjj,PROD-0393
85,3,male,17.1,0,0,5.0,S,0,jhfg081hkaz3,PROD-0138
86,2,male,42.3,0,0,64.56,S,0,h95hnygx1799,PROD-0128
87,3,male,28.0,0,0,5.0,S,0,54941h7k8bxj,PROD-0496
88,1,male,35.2,2,0,16.74,S,0,yhw0g345u170,PROD-0349
89,2,male,42.2,0,0,12.51,S,0,kybz2u4qvjes,PROD-0032
90,2,female,41.7,0,0,27.63,S,1,t13aa5rxuqss,PROD-0212
91,1,male,45.0,0,0,38.98,Q,1,m514d65wiokg,PROD-0590
92,2,female,33.5,0,3,19.23,S,1,k75ekssxi7g6,PROD-0382
93,2,female,28.7,0,2,56.54,S,1,r4g4jh6u44ag,PROD-0521
94,2,male,33.8,2,0,5.0,S,0,1ubccv2xlmnh,PROD-0328
95,2,female,9.7,0,0,11.74,S,0,1b3pw2hhd0lf,PROD-0025
96,3,female,13.3,1,0,26.2,C,0,olafky50cmx9,PROD-0107
97,2,female,15.2,0,1,14.29,S,1,pccd085l8ac9,PROD-0055
98,3,male,20.0,0,0,5.0,S,0,u7emecfau77l,PROD-0440
99,2,male,41.0,0,1,6.87,S,1,sihjx9890z79,PROD-0453
100,2,male,21.4,0,0,15.17,S,0,f0sxwg8ck2bj,PROD-0274
101,2,female,29.3,0,0,12.63,S,1,31ujd74tck5k,PROD-0434
102,2,female,54.5,3,1,39.25,Q,1,iap3uhsamh3m,PROD-0330
103,2,female,29.7,1,0,35.54,S,1,ab7ep7wfr6kd,PROD-0443
104,2,female,46.1,4,1,33.61,S,0,yk5726m7nfld,PROD-0403
105,1,female,21.0,0,0,29.17,S,1,32xfrl6bg0k3,PROD-0273
106,2,female,31.9,1,0,41.92,S,1,r27719ufzye0,PROD-0391
107,2,male,20.7,0,0,88.74,Q,1,05149pv2z788,PROD-0191
108,2,female,29.9,1,0,10.47,S,1,2hzzjy6rtdmv,PROD-0449
109,3,male,47.6,4,0,64.63,S,0,mignumobjh5d,PROD-0548
110,2,male,9.1,1,0,5.0,S,0,zrnnilyt13zd,PROD-0124
111,3,male,41.5,2,0,91.15,S,1,nqw8t4n7baz1,PROD-0400
112,3,female,38.6,1,0,5.0,S,1,eusih7ku9z9b,PROD-0066
113,3,male,26.1,0,0,5.0,S,0,iwipjt549chi,PROD-0226
114,3,male,13.3,1,0,17.1,C,0,fo8iczhv1l3b,PROD-0401
115,1,male,36.1,0,0,5.0,S,0,qpqxrnr5z82f,PROD-0166
116,2,male,27.1,2,0,5.0,S,1,7zcud9ksl96p,PROD-0141
117,1,male,38.5,1,1,5.0,C,0,ofa39od764qs,PROD-0230
118,3,female,35.3,0,0,10.03,S,1,rk8gr92hl3fw,PROD-0068
119,2,female,59.0,0,0,52.42,S,1,edsits5ds16h,PROD-0375
120,2,male,31.4,0,2,5.0,S,1,otmd2v205b28,PROD-0078
121,3,male,19.6,0,0,27.55,S,0,p4oiu3uvf6q2,PROD-0199
122,1,male,37.7,0,0,51.77,C,0,q207luvnh1lx,PROD-0187
123,2,male,38.3,1,1,6.53,S,1,ilgm1co27e2u,PROD-0580
124,3,female,55.4,0,0,10.24,S,0,tshq1l3uao9u,PROD-0595
125,1,female,47.5,1,0,151.9,S,1,y4u3g4fwagj5,PROD-0047
126,2,female,40.4,0,2,36.19,S,0,06x1gncvvfcn,PROD-0094
127,3,male,56.9,0,3,21.67,S,0,h33d5h4erq68,PROD-0439
128,1,female,17.2,0,0,55.85,C,1,rnr81o2h4zln,PROD-0179
129,2,male,25.4,2,0,5.0,S,0,d02wb0auwc7k,PROD-0386
130,2,male,21.1,0,1,46.43,S,0,hs4va0e4o67g,PROD-0552
131,3,female,29.2,0,0,41.0,Q,0,wghwjsdwr1gs,PROD-0097
132,1,female,14.3,0,0,13.59,S,1,to7nl4woflb6,PROD-0577
133,3,female,44.5,1,0,10.91,S,1,w6mnkgn1ejya,PROD-0031
134,3,female,31.7,0,0,24.7,S,1,1yjq1uo86o6i,PROD-0137
135,1,female,12.9,1,0,43.56,S,0,k7ngyzax6ock,PROD-0304
136,2,female,19.8,1,0,48.18,S,1,qrh8z384rxhd,PROD-0528
137,2,male,39.7,1,0,67.81,S,1,9f0b6ii02cvo,PROD-0332
138,3,male,47.6,0,0,6.04,S,0,wwx7a2blq89n,PROD-0083
139,2,male,65.0,0,2,8.31,S,1,vivuoinxywm1,PROD-0149
140,1,male,78.7,0,0,40.56,S,1,btlqvep0sstz,PROD-0456
141,1,male,41.2,0,0,6.05,C,0,lnl4b4s86fsw,PROD-0336
142,3,male,20.2,1,0,5.0,S,0,0cbdfcxbiugb,PROD-0007
143,2,female,3.0,0,0,7.15,C,0,ae6ev9os22px,PROD-0300
144,3,female,39.0,0,2,10.87,S,0,xvf4txk44ih4,PROD-0243
145,2,female,22.8,0,2,10.95,S,1,l8s5hvoqfh4l,PROD-0000
146,3,male,28.8,0,0,33.76,S,0,dqvo0mdfavtp,PROD-0148
147,1,female,25.8,0,0,30.45,S,1,61mqeyv5afvj,PROD-0561
148,1,male,32.9,1,0,17.78,S,0,qimz78vasnok,PROD-0422
149,3,male,51.0,0,0,38.98,S,0,4w07ftnt968e,PROD-0042
150,3,male,37.4,3,0,20.14,S,0,kyk3d3lk1gfi,PROD-0009
151,2,male,32.6,1,0,31.42,S,1,wyeimnbzix91,PROD-0207
152,2,male,19.5,0,0,94.36,S,1,dqzd18glmtmo,PROD-0278
153,2,female,9.9,0,0,42.44,S,1,hyyxpnfklw49,PROD-0272
154,2,female,27.7,0,0,9.42,S,1,y6sobet8l5h0,PROD-0418
155,1,female,34.2,0,0,5.15,S,1,e6rlwafi1oj9,PROD-0104
156,3,male,61.5,0,0,85.31,S,0,o3h430zcgakl,PROD-0028
157,2,female,37.0,2,0,32.39,S,1,mvrjgfq3hlgc,PROD-0403
158,3,female,49.7,1,0,53.58,S,1,o0zmtdeldm5o,PROD-0538
159,1,male,27.5,0,0,26.1,S,1,5m7seddq4shm,PROD-0100
160,1,female,17.2,0,0,26.18,S,1,z17j45sj6ke4,PROD-0216
161,3,male,20.5,0,0,216.18,S,0,xz1i0ol8sp49,PROD-0375
162,2,male,24.1,3,1,74.45,C,1,5jgwa4737hgd,PROD-0099
163,3,male,66.9,0,2,5.0,S,0,ixdhqoem75so,PROD-0515
164,1,male,22.7,1,0,5.68,C,1,kfkpo7vw3ip8,PROD-0135
165,3,male,47.6,1,0,13.43,S,0,ucgv37jsp7o6,PROD-0319
166,3,male,21.5,0,1,12.76,S,0,b7dvrtr9yutk,PROD-0203
167,3,male,49.0,0,0,5.89,S,0,pe39x4a3nihn,PROD-0400
168,1,female,40.8,0,0,33.24,S,1,nu5p3c20mon1,PROD-0119
169,2,male,32.7,2,0,16.67,S,0,fnk6a2kzh73e,PROD-0058
170,2,male,34.4,0,0,65.11,C,1,pv7pc60acl7i,PROD-0306
171,2,male,25.2,1,0,13.08,S,0,qojc4v3hx1il,PROD-0519
172,2,female,41.7,1,0,22.37,S,1,oa58of3u3un8,PROD-0379
173,1,female,28.2,1,0,16.42,S,1,sv44oyx378fv,PROD-0453
174,2,female,16.6,0,0,31.88,S,1,osi9ftzxodnr,PROD-0260
175,2,male,15.8,0,0,8.67,C,0,3b1vh7rx4iog,PROD-0084
176,2,male,37.6,1,0,53.05,S,1,xj8cx7r5oylz,PROD-0256
177,1,female,58.7,0,0,102.6,S,0,dds1mvwjwsfh,PROD-0592
178,2,male,37.4,2,0,5.0,Q,0,h6sk47zw2hyd,PROD-0469
179,2,female,33.2,0,0,5.0,Q,1,5b8had0pbdhd,PROD-0422
180,2,female,39.3,0,0,15.96,S,0,w2ki773h4ubf,PROD-0180
181,2,male,54.6,1,1,23.19,S,0,awxquodbnicm,PROD-0359
182,2,female,38.3,0,0,38.91,C,1,1n1gbe1ywnyp,PROD-0373
183,3,female,28.8,0,0,16.03,S,1,j1t8end3e3pk,PROD-0392
184,2,male,51.6,0,0,18.68,S,0,yzuqyew574k3,PROD-0535
185,2,male,41.4,0,1,27.89,S,0,zse6s71lfquz,PROD-0408
186,3,male,58.0,1,1,15.09,Q,0,jnagoyppuw6y,PROD-0132
187,2,female,37.7,0,1,102.42,Q,1,592fxaqma9be,PROD-0132
188,3,male,16.6,0,0,5.0,S,0,cgwsuh6imzes,PROD-0371
189,3,male,14.5,0,0,5.0,S,0,mot8t9auktdb,PROD-0519
190,1,female,59.8,3,0,22.38,S,0,qyxhqr7oboi6,PROD-0568
191,2,male,60.9,0,0,9.29,S,1,8rfpd593v38i,PROD-0365
192,3,male,32.3,3,0,51.88,C,0,0tqtuco25lvq,PROD-0317
193,3,female,29.3,2,0,12.8,S,0,yj3s6hldcvof,PROD-0489
194,2,male,56.9,0,0,6.86,S,0,y99lv3jhe6k2,PROD-0586
195,1,male,18.4,1,2,5.3,S,1,god85kb1topc,PROD-0016
196,2,male,21.6,1,0,29.03,S,0,hnzy0dod9m8a,PROD-0186
197,1,male,44.6,0,0,5.36,C,1,9vqn8ufpo0ts,PROD-0200
198,3,male,29.1,0,0,16.98,S,0,3gh3wqgm1l8r,PROD-0338
199,2,female,34.9,1,1,34.3,C,1,y8gh9at72o8p,PROD-0176
200,3,female,32.5,1,2,38.72,S,0,kc649liwejzj,PROD-0186
201,3,male,40.1,1,0,14.38,S,0,htzvqy9jtqzp,PROD-0014
