PassengerId,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Survived
653,3,male,60.0,0,0,25.96,S,0
156,3,male,61.5,0,0,85.31,S,0
740,1,female,1.3,0,0,41.58,S,0
184,2,male,51.6,0,0,18.68,S,0
996,2,male,40.3,2,0,38.78,S,0
439,3,female,25.2,0,0,5.0,S,0
350,1,male,57.1,0,0,63.57,C,0
527,3,female,56.8,3,0,34.6,S,0
59,2,male,22.0,0,0,25.18,S,1
882,1,male,49.2,0,0,52.16,S,0
13,1,male,36.0,0,0,37.27,S,0
147,1,female,25.8,0,0,30.45,S,1
876,2,male,5.6,0,0,5.0,S,0
879,3,male,33.4,1,0,5.0,S,0
308,3,male,54.5,1,0,11.98,S,1
154,2,female,27.7,0,0,9.42,S,1
875,1,female,6.6,4,1,23.0,S,1
113,3,male,26.1,0,0,5.0,S,0
974,3,male,44.3,0,1,5.02,S,0
986,2,female,44.5,1,0,9.96,S,0
144,3,female,39.0,0,2,10.87,S,0
330,1,female,27.2,0,1,25.11,S,0
179,2,female,33.2,0,0,5.0,Q,1
347,1,male,26.1,1,0,9.18,S,0
619,3,female,25.8,0,0,10.35,C,0
6,2,female,15.5,0,3,23.93,C,0
944,3,female,53.0,0,0,8.44,S,0
371,3,female,35.2,0,0,111.52,S,0
18,2,male,20.6,0,1,19.04,S,0
385,3,male,11.0,1,0,100.13,S,1
142,3,male,20.2,1,0,5.0,S,0
828,3,male,33.2,0,0,12.62,Q,0
163,3,male,66.9,0,2,5.0,S,0
983,1,female,38.4,0,0,5.0,S,0
891,3,male,22.5,1,0,23.94,C,0
610,3,male,43.1,0,1,63.68,S,0
440,2,female,41.4,1,1,5.0,S,0
895,2,male,30.3,0,0,7.61,S,0
815,2,male,25.6,0,2,8.15,C,0
975,2,female,20.0,0,3,45.08,S,1
317,3,female,36.0,2,1,5.0,C,0
756,3,female,52.0,0,0,34.2,S,0
150,3,male,37.4,3,0,20.14,S,0
411,3,female,12.8,3,3,34.75,S,0
929,1,male,31.5,0,1,5.0,S,0
535,3,male,11.5,1,2,5.44,S,0
169,2,male,32.7,2,0,16.67,S,0
272,1,male,39.7,0,0,46.13,C,0
967,3,male,31.2,0,1,5.0,S,0
64,3,male,43.8,0,0,27.56,C,1
65,3,male,45.7,0,0,25.43,S,0
993,2,female,61.9,0,0,5.0,S,1
587,3,male,17.4,2,0,16.5,S,0
674,1,female,15.2,1,1,47.61,S,0
910,3,male,18.9,1,0,42.1,C,0
3,2,female,46.3,1,0,9.52,S,1
17,2,male,40.5,2,0,5.0,C,0
151,2,male,32.6,1,0,31.42,S,1
565,2,male,48.5,0,0,21.21,S,0
947,3,male,40.0,0,0,6.95,Q,0
701,3,female,51.7,1,1,15.8,S,0
808,2,male,16.3,0,0,77.97,S,0
478,3,male,17.9,4,3,5.0,S,0
942,2,male,48.3,0,1,15.58,S,0
521,2,male,20.4,2,0,6.64,S,0
171,2,male,25.2,1,0,13.08,S,0
146,3,male,28.8,0,0,33.76,S,0
372,3,male,54.9,0,0,29.13,S,0
525,1,male,56.1,0,0,42.62,C,0
161,3,male,20.5,0,0,216.18,S,0
772,3,female,55.4,2,0,5.27,S,0
295,3,female,31.4,3,2,17.66,S,0
729,2,female,17.9,0,2,12.83,S,0
167,3,male,49.0,0,0,5.89,S,0
913,2,male,43.3,0,0,11.78,Q,0
149,3,male,51.0,0,0,38.98,S,0
